actionable_rank,page_reference,review_priority_score,model_score,feature_impressions,feature_clicks,feature_ctr,feature_avg_position,feature_position_volatility,feature_active_days,feature_available_days,position_band,archetype,action_label,reason_code,confidence_level,confidence_note,review_cost_tier,estimated_review_minutes,human_review_required
1,REVIEW-00001,80.56,0.7011016703546831,83772.0,0.0,0.0,8.607910233598515,12.407646289462948,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
2,REVIEW-00002,79.14,0.6906270324415374,11060.0,1.0,9.041591320072333e-05,8.800659167148662,9.040148727436394,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
3,REVIEW-00003,76.71,0.6731922920039263,5961.0,8.0,0.001342056701895655,7.690508461184834,10.759353372366215,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
4,REVIEW-00004,76.52,0.6872084097345411,4403.0,3.0,0.0006813536225300931,6.243306464229788,10.998858559006491,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
5,REVIEW-00005,75.66,0.6440873440144501,8352.0,5.0,0.0005986590038314176,5.998680095256378,7.4247056395330695,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
6,REVIEW-00006,75.34,0.644431287187674,7161.0,4.0,0.0005585812037424941,9.75532416013495,4.542915422307225,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
7,REVIEW-00007,75.29,0.6401994607622382,7895.0,1.0,0.0001266624445851805,6.986653621579533,4.978882742271587,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
8,REVIEW-00008,74.79,0.6123825601696294,55680.0,15.0,0.00026939655172413793,9.013531117255678,3.7638357985570594,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
9,REVIEW-00009,74.57,0.6138876080470282,16711.0,0.0,0.0,8.737144149546918,1.800364859320258,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
10,REVIEW-00010,74.56,0.6390195243849763,6117.0,3.0,0.0004904364884747426,9.913648831569526,3.5310131333930963,15,15,Page 1,HIGH_VISIBILITY_WEAK_CTR,CTR_REVIEW,CTR_GAP_HIGH_VISIBILITY,HIGH,"High measured risk, meaningful visibility, and CTR below the training reference.",LOW,20,True
